Performing system checks...

System check identified no issues (0 silenced).
/usr/local/lib/python3.10/dist-packages/whitenoise/base.py:109: UserWarning: No directory at: /home/web/sempregreen/staticfiles/
  warnings.warn(f"No directory at: {root}")
August 02, 2023 - 00:31:46
Django version 4.2, using settings 'sempregreen.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[02/Aug/2023 01:43:04] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:12] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:21] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:30] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:39] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:48] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:43:56] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:05] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:14] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:22] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:31] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:40] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:49] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:44:58] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:06] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:15] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:23] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:32] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:40] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:49] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:45:58] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:07] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:15] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:24] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:33] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:42] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:51] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:46:59] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:08] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:17] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:25] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:34] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:36] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 01:47:42] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:51] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:47:59] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:08] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:17] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:25] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:34] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:43] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:48:52] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:01] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:10] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:18] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:27] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:35] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:44] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:49:52] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:01] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:10] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:18] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:27] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:35] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:44] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:50:52] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:51:01] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:51:08] "GET /calc/h1U1aIdZuaw/1Win/Pinnacle HTTP/1.0" 200 41215
[02/Aug/2023 01:51:09] "GET /static/js HTTP/1.0" 200 111584
[02/Aug/2023 01:51:09] "GET /static/app-base-f3fc6be3261b2fab9abc0f065db5730eacd9bd433fa7c9a1716ab338b343100f.css HTTP/1.0" 200 249962
[02/Aug/2023 01:51:09] "GET /static/application-2297659ed3e1301563b184adae007e911d7e5da19eaf8bde0f9c421e7617da26.js HTTP/1.0" 200 490465
[02/Aug/2023 01:51:10] "GET /odds HTTP/1.0" 200 509290
[02/Aug/2023 01:51:10] "GET /static/logo-riscozero.png HTTP/1.0" 200 175679
[02/Aug/2023 01:51:11] "GET /assets/fa/fa-solid-900-556213d68f2f3386a34135c07ea432d252682ac7deecc5eb9c9c23a194e83415.woff2 HTTP/1.0" 404 179
[02/Aug/2023 01:51:11] "GET /assets/fa/fa-regular-400-5f9d60dfa847591e27ebc1b76f6ed87529dbc57382055b8a170cff951013a5fa.woff2 HTTP/1.0" 404 179
[02/Aug/2023 01:51:11] "GET /assets/fa/fa-solid-900-2e40b782d64fad84425e72a3bac5100258b34f81be4ce4fa67c01341a518ed84.woff HTTP/1.0" 404 179
[02/Aug/2023 01:51:11] "GET /assets/fa/fa-regular-400-b6aa358482b93fae5bc03c264f4cdf5372aeb4bd6d0214e4ba7e697bf3501ff0.woff HTTP/1.0" 404 179
[02/Aug/2023 01:51:11] "GET /assets/fa/fa-solid-900-7af6adf2dfbabbffec323524576778f4e3ea6f27d348b8fc6c644e033476c1b8.ttf HTTP/1.0" 404 179
